"";"FechaHora2";"Viento";"DirViento";"Año";"Mes";"DirViento2";"Dia";"Viento2";"0_5";"5_10";"10_15";"15_20";"20_25";"Mes_Año"
"1";"2016-11-21 12";0,94;262;"2016";"noviembre";"Oeste";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"2";"2016-11-21 13";1,66;260;"2016";"noviembre";"Oeste";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"3";"2016-11-21 14";1,44;198;"2016";"noviembre";"Sur";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"4";"2016-11-21 15";1,85;257;"2016";"noviembre";"Oeste";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"5";"2016-11-21 16";2,11;237;"2016";"noviembre";"S-W";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"6";"2016-11-21 17";1,05;277;"2016";"noviembre";"Oeste";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"7";"2016-11-21 18";0,67;147;"2016";"noviembre";"S-E";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"8";"2016-11-21 19";0,32;42;"2016";"noviembre";"N-E";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"9";"2016-11-21 20";0,62;79;"2016";"noviembre";"Este";"2016-11-21";"[0,5]";1;0;0;0;0;"noviembre 2016"
"10";"2016-11-22 08";1,04;180;"2016";"noviembre";"Sur";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"11";"2016-11-22 09";0,67;144;"2016";"noviembre";"S-E";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"12";"2016-11-22 13";0,94;110;"2016";"noviembre";"Este";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"13";"2016-11-22 14";1,05;262;"2016";"noviembre";"Oeste";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"14";"2016-11-22 15";0,44;233;"2016";"noviembre";"S-W";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"15";"2016-11-22 16";0,19;209;"2016";"noviembre";"S-W";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"16";"2016-11-22 17";0,1;186;"2016";"noviembre";"Sur";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"17";"2016-11-22 18";0,26;208;"2016";"noviembre";"S-W";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"18";"2016-11-22 19";0,8;182;"2016";"noviembre";"Sur";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"19";"2016-11-22 20";1,82;321;"2016";"noviembre";"N-W";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"20";"2016-11-22 21";0,74;232;"2016";"noviembre";"S-W";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"21";"2016-11-22 22";0,63;226;"2016";"noviembre";"S-W";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"22";"2016-11-22 23";1,22;271;"2016";"noviembre";"Oeste";"2016-11-22";"[0,5]";1;0;0;0;0;"noviembre 2016"
"23";"2016-11-23 00";0,67;257;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"24";"2016-11-23 01";0,52;255;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"25";"2016-11-23 02";0,76;251;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"26";"2016-11-23 03";0,69;276;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"27";"2016-11-23 04";0,36;279;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"28";"2016-11-23 05";0,64;281;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"29";"2016-11-23 06";0,34;263;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"30";"2016-11-23 07";0,56;274;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"31";"2016-11-23 08";0,33;273;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"32";"2016-11-23 09";0,61;229;"2016";"noviembre";"S-W";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"33";"2016-11-23 10";0,89;250;"2016";"noviembre";"Oeste";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"34";"2016-11-23 11";1,75;220;"2016";"noviembre";"S-W";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"35";"2016-11-23 12";2,09;233;"2016";"noviembre";"S-W";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"36";"2016-11-23 13";1,97;221;"2016";"noviembre";"S-W";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"37";"2016-11-23 14";2,19;219;"2016";"noviembre";"S-W";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"38";"2016-11-23 15";1,65;223;"2016";"noviembre";"S-W";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
"39";"2016-11-23 16";1,34;197;"2016";"noviembre";"Sur";"2016-11-23";"[0,5]";1;0;0;0;0;"noviembre 2016"
